TRACT,0,10000,20000,30000,40000,50000,60000,1,10001,20001,30001,40001,50001,60001,100,10100,20100,30100,40100,50100,60100,101,10101,20101,30101,40101,50101,60101,white,black,aian,aapi,others,nva,va,nh,h,total,flag,diff
39049006810,467,1,0,3,0,0,10,14,0,0,0,0,3,0,1561,16,0,22,2,2,2,13,0,0,0,0,1,0,2055,17,0,27,18,498,1619,2086,31,2117,Net-outflow,-14
39049006821,216,198,1,9,0,6,21,22,9,0,0,0,13,0,2163,444,7,66,0,14,12,26,1,1,0,0,11,1,2427,652,9,75,78,495,2746,3157,84,3241,Net-inflow,16
39049006822,239,6,0,7,0,0,9,17,0,0,0,0,0,0,1492,46,0,16,0,3,2,7,0,0,0,0,4,0,1755,52,0,23,18,278,1570,1820,28,1848,Net-outflow,-5
39049006910,346,2,1,9,0,3,11,5,0,0,0,0,0,0,1093,7,0,26,0,2,0,4,0,0,1,0,1,0,1448,9,1,36,17,377,1134,1500,11,1511,Net-outflow,-10
39049006921,372,168,1,19,0,2,24,18,15,0,0,0,91,0,1743,466,5,45,0,4,19,148,1,0,0,0,188,0,2281,650,6,64,328,710,2619,2868,461,3329,Net-inflow,16
39049006923,330,289,1,18,1,8,22,8,16,2,0,4,28,2,1620,596,8,82,0,2,11,109,2,2,0,3,40,1,2067,903,13,108,114,729,2476,2988,217,3205,Net-inflow,4
39049006924,234,386,0,5,0,15,18,28,1,0,0,0,15,1,1673,996,4,67,1,12,17,40,14,0,1,0,48,0,1975,1397,4,74,126,703,2873,3428,148,3576,Net-inflow,16
39049006931,328,925,2,31,4,31,35,76,35,4,4,2,83,6,1955,1849,9,133,10,6,13,290,9,4,5,3,234,2,2649,2818,19,192,410,1566,4522,5331,757,6088,Net-inflow,11
39049006932,393,893,0,48,0,10,22,36,22,0,0,0,52,1,1986,1907,9,165,0,18,25,112,13,1,3,0,81,0,2527,2835,10,216,209,1477,4320,5476,321,5797,Net-inflow,15
39049006933,254,1123,1,4,2,10,18,38,20,0,0,0,68,4,877,2162,16,31,3,12,18,275,21,14,1,0,132,1,1444,3326,31,41,263,1542,3563,4531,574,5105,Net-inflow,12
39049006942,114,149,0,5,0,3,9,8,5,0,0,0,8,0,488,291,2,17,0,1,1,30,0,0,0,0,13,0,640,445,2,22,35,301,843,1080,64,1144,Net-outflow,-7
39049006943,464,577,1,9,0,6,56,41,6,1,1,0,25,3,2108,852,3,69,0,1,10,94,4,1,0,0,47,0,2707,1439,6,79,148,1190,3189,4156,223,4379,Net-inflow,9
39049006944,417,250,0,12,0,5,20,31,8,2,0,0,14,0,2433,675,1,48,0,5,11,37,5,4,0,0,38,0,2918,938,7,60,93,759,3257,3877,139,4016,Net-outflow,-3
39049006945,299,744,6,27,1,9,43,27,45,1,1,1,110,2,1439,1794,12,81,0,8,18,261,10,4,0,1,220,3,2026,2593,23,112,413,1316,3851,4481,686,5167,Net-inflow,10
39049006950,343,5,0,13,0,2,8,4,2,0,0,0,0,0,2250,17,0,54,1,1,2,15,0,0,2,0,3,0,2612,24,0,70,16,377,2345,2696,26,2722,Net-outflow,-13
39049006990,940,313,4,21,0,2,45,34,19,1,1,0,88,3,3512,791,11,79,1,12,9,163,5,4,1,0,178,4,4649,1128,20,103,341,1471,4770,5740,501,6241,Net-inflow,11
39049007010,283,231,0,4,0,6,9,14,0,0,0,0,3,0,2677,398,5,36,0,3,5,40,0,1,0,0,14,0,3014,629,6,40,40,550,3179,3657,72,3729,Net-outflow,-7
39049007020,1264,62,1,16,0,9,30,40,1,0,0,2,11,0,4538,153,7,61,1,4,4,42,2,1,0,0,19,1,5884,218,9,80,78,1436,4833,6150,119,6269,Net-outflow,-9
